fg3a_per_fga_pct,Yyy,vorp,ws_per_48,pos,player,team_id,ows,tov_pct,ts_pct,stl_pct,drb_pct,blk_pct,Xxx,per,orb_pct,dws,season,usg_pct,link,ast_pct,obpm,fta_per_fga_pct,bpm,g,age,dbpm,pseudo,mp,trb_pct,ws
.446,,0.7,.066,SG,Sasha Vujacic,NJN,1.2,9.0,.518,1.8,11.7,0.2,,12.6,2.1,1.0,10/11,19.6,v/vujacsa01.html,13.6,0.8,.164,-0.2,56,26,-1.0,vujacsa01,1594,6.7,2.2
.149,,5.7,.218,SG,Dwyane Wade,MIA,8.1,12.4,.581,2.1,14.4,2.4,,25.6,5.5,4.7,10/11,31.6,w/wadedw01.html,23.5,4.4,.471,5.9,76,29,1.5,wadedw01,2823,10.2,12.8
.421,,0.0,.092,SG,Von Wafer,BOS,0.2,10.2,.524,1.7,8.8,0.7,,10.6,1.7,0.9,10/11,17.0,w/wafervo01.html,9.8,-1.7,.239,-1.8,58,25,-0.1,wafervo01,553,5.5,1.1
.648,,-0.2,.069,SG,Henry Walker,NYK,0.7,12.7,.583,1.3,15.6,0.6,,11.3,2.3,0.4,10/11,16.6,w/walkebi01.html,6.6,-0.3,.186,-2.8,61,23,-2.5,walkebi01,784,8.9,1.1
.118,,1.2,.041,PG,John Wall,WAS,0.3,18.6,.494,2.4,12.8,1.0,,15.8,1.5,1.9,10/11,23.8,w/walljo01.html,36.0,0.0,.404,-0.2,69,20,-0.2,walljo01,2606,6.9,2.2
.013,,1.2,.072,C,Ben Wallace,DET,0.5,20.2,.442,2.3,22.9,3.5,,12.3,12.2,1.4,10/11,8.2,w/wallabe01.html,8.1,-2.0,.383,1.8,54,36,3.8,wallabe01,1238,17.3,1.9
.219,,2.5,.111,SF-PF,Gerald Wallace,TOT,2.6,13.0,.548,2.1,21.0,1.9,,16.2,4.9,3.6,10/11,20.3,w/wallage01.html,10.9,0.0,.439,1.7,71,28,1.7,wallage01,2693,12.8,6.2
.182,,1.3,.092,SF,Gerald Wallace,CHA,1.3,12.4,.530,1.7,21.0,2.1,,15.0,4.6,2.3,10/11,20.2,w/wallage01.html,10.5,-0.8,.488,0.8,48,28,1.5,wallage01,1872,12.7,3.6
.297,,1.2,.153,PF,Gerald Wallace,POR,1.3,14.4,.590,3.1,21.2,1.5,,18.9,5.6,1.3,10/11,20.5,w/wallage01.html,11.9,1.8,.335,4.0,23,28,2.2,wallage01,821,13.0,2.6
.293,,-0.5,-0.016,SF,Luke Walton,LAL,-0.7,20.5,.378,1.0,13.1,0.6,,5.1,2.2,0.5,10/11,14.3,w/waltolu01.html,18.0,-5.7,.086,-6.2,54,30,-0.5,waltolu01,484,7.8,-0.2
.429,,-0.1,.065,PG,Willie Warren,LAC,0.1,17.2,.480,2.3,9.5,0.0,,10.8,0.9,0.1,10/11,15.5,w/warrewi01.html,30.4,-2.0,.229,-4.5,19,21,-2.5,warrewi01,134,5.2,0.2
.025,,0.0,.116,PF,Hakim Warrick,PHO,2.6,12.1,.581,1.1,17.0,0.5,,16.5,7.2,0.8,10/11,20.9,w/warriha01.html,7.6,-0.8,.659,-1.9,80,28,-1.2,warriha01,1416,12.1,3.4
.284,,0.0,.093,PG,C.J. Watson,CHI,0.2,14.4,.466,2.7,8.1,0.8,,12.8,1.8,2.0,10/11,21.4,w/watsocj01.html,26.9,-1.9,.236,-2.2,82,26,-0.3,watsocj01,1091,5.0,2.1
.349,,-0.3,.030,PG,Earl Watson,UTA,0.2,25.3,.500,2.1,10.1,0.9,,10.2,4.0,0.8,10/11,13.4,w/watsoea01.html,25.7,-1.7,.267,-2.6,80,31,-0.9,watsoea01,1567,7.0,1.0
.280,,-0.1,-0.018,SG,Kyle Weaver,UTA,-0.1,19.7,.491,1.5,14.1,2.4,,11.3,3.5,0.0,10/11,23.6,w/weaveky01.html,15.8,-4.0,.320,-5.6,5,24,-1.7,weaveky01,69,8.7,0.0
.388,,0.1,.077,SF,Martell Webster,MIN,1.4,12.8,.575,1.3,11.6,0.6,,12.4,3.6,0.3,10/11,17.6,w/webstma02.html,7.5,0.1,.359,-1.5,46,24,-1.7,webstma02,1094,7.5,1.8
.119,,-1.0,-0.013,SF,Sonny Weems,TOR,-0.4,13.4,.492,1.2,9.8,0.1,,10.2,3.2,0.0,10/11,20.3,w/weemsso01.html,11.6,-2.3,.183,-4.7,59,24,-2.4,weemsso01,1413,6.4,-0.4
.009,,2.9,.152,PF,David West,NOH,4.4,10.7,.558,1.5,18.7,2.1,,20.4,7.6,3.4,10/11,25.8,w/westda01.html,12.7,1.2,.314,2.7,70,30,1.5,westda01,2451,13.1,7.8
.275,,0.2,.093,PG,Delonte West,BOS,0.1,19.2,.533,2.3,8.0,1.7,,12.3,1.7,0.8,10/11,16.6,w/westde01.html,22.0,-1.8,.125,-0.5,24,27,1.3,westde01,453,5.0,0.9
.190,,0.0,.069,SG,Mario West,NJN,0.1,7.9,.474,3.2,9.4,0.0,,9.1,2.0,0.1,10/11,10.1,w/westma02.html,13.2,-2.3,.238,-1.4,6,26,0.9,westma02,116,5.6,0.2
.074,,5.0,.159,PG,Russell Westbrook,OKC,6.3,15.9,.538,2.8,10.3,0.8,,23.6,5.2,3.1,10/11,31.6,w/westbru01.html,42.7,4.4,.454,5.0,82,22,0.5,westbru01,2847,7.8,9.4
.009,,-0.1,.128,C-PF,D.J. White,TOT,1.1,5.4,.542,0.9,20.0,2.3,,15.3,7.6,0.7,10/11,17.7,w/whitedj01.html,4.9,-1.9,.292,-2.9,47,24,-1.0,whitedj01,685,13.8,1.8
.000,,-0.2,.056,PF,D.J. White,OKC,0.0,9.2,.468,1.4,20.7,2.7,,10.1,6.6,0.3,10/11,15.8,w/whitedj01.html,2.9,-5.0,.154,-5.5,23,24,-0.5,whitedj01,219,13.9,0.3
.013,,0.0,.161,C,D.J. White,CHA,1.1,3.8,.571,0.7,19.6,2.1,,17.7,8.0,0.4,10/11,18.6,w/whitedj01.html,5.8,-0.4,.351,-1.7,24,24,-1.2,whitedj01,466,13.8,1.6
,,0.0,.007,C,Hassan Whiteside,SAC,0.0,,,0.0,0.0,0.0,,-17.9,0.0,0.0,10/11,0.0,w/whiteha01.html,0.0,-6.5,,-6.5,1,21,0.0,whiteha01,2,0.0,0.0
.003,,0.4,.133,PF,Chris Wilcox,DET,2.0,10.6,.587,1.6,22.7,1.4,,18.0,11.2,0.8,10/11,18.9,w/wilcoch01.html,7.4,0.4,.276,-0.5,57,28,-0.9,wilcoch01,995,16.7,2.8
.073,,0.1,.104,SF,Damien Wilkins,ATL,0.7,11.5,.557,2.1,11.9,1.0,,11.4,4.1,0.8,10/11,12.8,w/wilkida02.html,9.3,-2.1,.409,-1.5,52,31,0.6,wilkida02,676,8.0,1.5
.325,,3.0,.142,PG,Deron Williams,TOT,6.2,16.6,.566,1.7,10.9,0.5,,21.1,1.9,1.1,10/11,25.8,w/willide01.html,45.9,5.2,.423,2.8,65,26,-2.4,willide01,2465,6.3,7.3
.320,,2.7,.159,PG,Deron Williams,UTA,5.9,16.3,.587,1.7,10.5,0.5,,22.1,1.9,0.8,10/11,26.2,w/willide01.html,43.6,5.9,.439,3.3,53,26,-2.6,willide01,2009,6.2,6.7
.349,,0.3,.066,PG,Deron Williams,NJN,0.3,18.1,.463,1.8,12.5,0.5,,17.0,2.0,0.3,10/11,24.2,w/willide01.html,55.9,2.4,.343,0.5,12,26,-1.8,willide01,456,7.1,0.6
.567,,-0.1,.031,PG,Jason Williams,TOT,-0.2,21.2,.403,2.0,10.6,0.3,,8.4,1.2,0.4,10/11,13.2,w/willija02.html,25.1,-3.5,.000,-3.9,27,35,-0.4,willija02,295,6.0,0.2
.605,,0.0,.053,PG,Jason Williams,ORL,-0.1,22.4,.434,2.5,12.6,0.0,,8.5,2.1,0.3,10/11,13.3,w/willija02.html,21.0,-3.0,.000,-1.5,16,35,1.5,willija02,171,7.5,0.2
.517,,-0.2,.000,PG,Jason Williams,MEM,-0.1,19.4,.362,1.3,7.8,0.7,,8.2,0.0,0.1,10/11,13.1,w/willija02.html,30.8,-4.1,.000,-7.1,11,35,-3.0,willija02,124,3.9,0.0
